Tipo de equipo e instalación;Ámbito medioambiental;Agrupación de actividad económica;periodo;Total
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2021;34.165.759
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2020;26.558.585
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2019;22.814.326
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2018;24.126.113
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2017;25.707.190
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2016;26.581.616
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2015;19.163.476
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2014;16.794.541
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2013;39.831.899
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2012;35.257.293
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2011;72.377.794
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2010;51.146.754
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2009;57.959.710
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C20-21. Industria química y farmacéutica;2008;74.463.646
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2021;2.165.398
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2020;4.687.821
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2019;5.144.468
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2018;2.737.631
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2017;6.097.734
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2016;4.630.444
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2015;1.131.082
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2014;4.056.654
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2013;2.950.551
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2012;4.113.396
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2011;3.043.490
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2010;5.691.032
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2009;8.133.514
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C22. Fabricación de productos de caucho y plásticos;2008;18.173.068
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2021;1.127.094
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2020;8.332.230
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2019;11.613.390
INVERSIÓN EN EQUIPOS E INSTALACIONES INDEPENDIENTES;Total;C23. Fabricación de otros productos minerales no metálicos;2018;4.188.860
