Total Nacional;Comunidades y Ciudades Autónomas;Clase de residuos;periodo;Total
Total Nacional;06 Cantabria;Residuos mezclados;2019;476
Total Nacional;06 Cantabria;Residuos mezclados;2018;465
Total Nacional;06 Cantabria;Residuos mezclados;2017;450,4
Total Nacional;06 Cantabria;Residuos mezclados;2016;454,2
Total Nacional;06 Cantabria;Residuos mezclados;2015;446,3
Total Nacional;06 Cantabria;Residuos mezclados;2014;435,7
Total Nacional;06 Cantabria;Residuos mezclados;2013;431
Total Nacional;06 Cantabria;Residuos mezclados;2012;445,2
Total Nacional;06 Cantabria;Residuos mezclados;2011;463,5
Total Nacional;06 Cantabria;Residuos mezclados;2010;454,7
Total Nacional;06 Cantabria;Residuos de papel y cartón;2021;10,3
Total Nacional;06 Cantabria;Residuos de papel y cartón;2020;9,7
Total Nacional;06 Cantabria;Residuos de papel y cartón;2019;9,8
Total Nacional;06 Cantabria;Residuos de papel y cartón;2018;17,9
Total Nacional;06 Cantabria;Residuos de papel y cartón;2017;7
Total Nacional;06 Cantabria;Residuos de papel y cartón;2016;8,7
Total Nacional;06 Cantabria;Residuos de papel y cartón;2015;16,5
Total Nacional;06 Cantabria;Residuos de papel y cartón;2014;16,8
Total Nacional;06 Cantabria;Residuos de papel y cartón;2013;17,6
Total Nacional;06 Cantabria;Residuos de papel y cartón;2012;20,4
Total Nacional;06 Cantabria;Residuos de papel y cartón;2011;22,7
Total Nacional;06 Cantabria;Residuos de papel y cartón;2010;23,4
Total Nacional;06 Cantabria;Residuos de vidrio;2021;19,8
Total Nacional;06 Cantabria;Residuos de vidrio;2020;19,1
Total Nacional;06 Cantabria;Residuos de vidrio;2019;21,4
Total Nacional;06 Cantabria;Residuos de vidrio;2018;19,4
Total Nacional;06 Cantabria;Residuos de vidrio;2017;18,9
Total Nacional;06 Cantabria;Residuos de vidrio;2016;19,3
Total Nacional;06 Cantabria;Residuos de vidrio;2015;18,8
Total Nacional;06 Cantabria;Residuos de vidrio;2014;17,5
Total Nacional;06 Cantabria;Residuos de vidrio;2013;17,6
Total Nacional;06 Cantabria;Residuos de vidrio;2012;17,4
Total Nacional;06 Cantabria;Residuos de vidrio;2011;17,6
Total Nacional;06 Cantabria;Residuos de vidrio;2010;17,9
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2021;12,7
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2020;12,9
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2019;11,7
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2018;10,8
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2017;9,9
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2016;9,5
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2015;9
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2014;8,7
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2013;8,6
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2012;8,6
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2011;8,5
Total Nacional;06 Cantabria;Envases mixtos y embalajes mezclados;2010;8,6
Total Nacional;06 Cantabria;Total;2021;517,1
Total Nacional;06 Cantabria;Total;2020;504,5
Total Nacional;06 Cantabria;Total;2019;579,6
Total Nacional;06 Cantabria;Total;2018;566,1
Total Nacional;06 Cantabria;Total;2017;535,1
Total Nacional;06 Cantabria;Total;2016;538,2
Total Nacional;06 Cantabria;Total;2015;532,6
Total Nacional;06 Cantabria;Total;2014;516,1
Total Nacional;06 Cantabria;Total;2013;523,2
Total Nacional;06 Cantabria;Total;2012;542,9
Total Nacional;06 Cantabria;Total;2011;578,1
Total Nacional;06 Cantabria;Total;2010;604,3
Total Nacional;07 Castilla y León;Residuos mezclados;2021;379,4
Total Nacional;07 Castilla y León;Residuos mezclados;2020;372,2
Total Nacional;07 Castilla y León;Residuos mezclados;2019;385,3
Total Nacional;07 Castilla y León;Residuos mezclados;2018;386,9
Total Nacional;07 Castilla y León;Residuos mezclados;2017;382,6
Total Nacional;07 Castilla y León;Residuos mezclados;2016;375,7
Total Nacional;07 Castilla y León;Residuos mezclados;2015;377,9
Total Nacional;07 Castilla y León;Residuos mezclados;2014;374
Total Nacional;07 Castilla y León;Residuos mezclados;2013;340,3
Total Nacional;07 Castilla y León;Residuos mezclados;2012;370,4
Total Nacional;07 Castilla y León;Residuos mezclados;2011;392,4
Total Nacional;07 Castilla y León;Residuos mezclados;2010;362,2
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2021;20,2
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2020;20,2
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2019;20,1
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2018;18,1
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2017;18,6
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2016;18,3
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2015;17,6
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2014;17,5
Total Nacional;07 Castilla y León;Residuos de papel y cartón;2013;18
