Sectores de actividad económica agregados;Categoría de residuos (CER-Stat) agregada;Peligrosidad;año;Total
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Peligrosos;2020;1.329,30
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Peligrosos;2019;1.318,40
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Peligrosos;2018;1.314,60
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Peligrosos;2017;1.275,10
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Peligrosos;2016;1.321,40
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Peligrosos;2015;1.321,20
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Total;2021;10.350,80
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Total;2020;10.350,70
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Total;2019;10.004,10
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Total;2018;10.267,80
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Total;2017;9.162,60
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Total;2016;10.237,00
A: Agricultura ganadería silvicultura y pesca;Resto: Otros;Total;2015;9.958,90
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;No peligrosos;2021;6.316.368,70
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;No peligrosos;2020;6.302.433,30
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;No peligrosos;2019;6.158.033,90
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;No peligrosos;2018;6.230.097,40
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;No peligrosos;2017;6.031.875,60
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;No peligrosos;2016;6.243.798,10
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;No peligrosos;2015;6.143.003,70
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Peligrosos;2021;..
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Peligrosos;2020;..
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Peligrosos;2019;..
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Peligrosos;2018;..
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Peligrosos;2017;..
A: Agricultura ganadería silvicultura y pesca;Total no peligrosos;Peligrosos;2016;..
